Name,Status,Class,Gender,Race,Ability,Eyes,Strength,Intelligence,Attractiveness,Tech Skill,Cool,Credits,Credit Yield,Opened Vault,Rarity
Character #68,First Citizen,Scavenger,Male,Human,None,Scar,70,95,57,29,94,444,Low,True,535
Character #69,First Citizen,Driver,Female,Human,None,Sad,32,55,38,40,58,291,Low,True,1918
Character #70,First Citizen,CEO,Female,Human,None,Skeptical,73,84,99,72,93,1451,High,True,96
Character #71,First Citizen,Exectuive,Female,Human,Weapon Check,Alien,87,59,89,74,57,874,Mid,True,122
Character #72,First Citizen,Club Promoter,Female,Mutant,None,Grumpy,21,65,82,45,65,440,Low,True,814
Character #73,First Citizen,Exectuive,Female,Human,None,Bloodshot,98,86,86,96,81,874,Mid,True,230
Character #74,First Citizen,Cook,Female,Human,None,Angry,62,88,46,48,76,294,Low,True,1272
Character #75,First Citizen,Mercenary,Male,Human,None,Bloodshot,98,84,67,81,49,587,Mid,True,501
Character #76,First Citizen,Club Owner,Male,Ape,Dead Eye,Bloodshot,19,17,75,32,29,580,Mid,True,374
Character #77,First Citizen,Corporate,Female,Ghost,Revive,Glowing,24,23,67,15,90,442,Low,True,50
Character #78,First Citizen,Mercenary,Female,Human,None,Skeptical,37,46,39,44,17,587,Mid,True,1362
Character #79,First Citizen,Driver,Male,Ape,Revive,Skeptical,14,67,76,80,94,298,Low,True,141
Character #80,First Citizen,Bartender,Female,Human,None,Tired,28,57,22,65,76,290,Low,False,1769
Character #81,First Citizen,Bartender,Female,Human,None,Suspicious,28,76,63,56,81,291,Low,True,1477
Character #82,First Citizen,Cyber Ninja,Female,Android,None,Cyborg,75,99,97,72,99,876,Mid,True,241
Character #83,First Citizen,NFT Artist,Male,Human,None,Suspicious,70,81,93,90,68,879,Mid,False,315
Character #84,First Citizen,Worker,Male,Human,None,Bloodshot,27,57,70,73,33,293,Low,True,1678
Character #85,First Citizen,Cyberstreet Trader,Male,Human,None,Cyborg,91,82,56,33,98,583,Mid,True,450
Character #86,First Citizen,Tech Runner,Male,Human,None,Tired,89,93,12,39,53,588,Mid,True,957
Character #87,First Citizen,Cyberstreet Trader,Female,Android,None,Tired,68,48,10,14,53,582,Mid,True,1384
Character #88,First Citizen,Club Owner,Female,Ghost,Weapon Check,Alien,78,10,78,91,71,588,Mid,True,108
Character #89,First Citizen,Tech Runner,Female,Android,None,Skeptical,50,31,41,28,76,581,Mid,True,1147
Character #90,First Citizen,Assistant,Male,Human,None,Tired,20,85,82,70,21,299,Low,True,1575
Character #91,First Citizen,Assistant,Female,Human,None,Tired,19,65,53,30,67,299,Low,True,1820
Character #92,First Citizen,Samurai,Female,Human,None,Angry,46,24,13,14,11,581,Mid,True,1782
Character #93,First Citizen,Developer,Male,Human,None,Angry,57,57,57,80,53,443,Low,True,937
Character #94,First Citizen,Cook,Female,Human,None,Tired,14,48,60,29,49,295,Low,True,1927
Character #95,First Citizen,Punk,Female,Human,None,Skeptical,33,15,53,95,79,435,Low,True,999
Character #96,First Citizen,Assistant,Male,Human,None,Cyborg,61,36,84,25,18,298,Low,True,1266
Character #97,First Citizen,Chat Support,Female,Human,None,Paranoid,11,12,42,46,24,295,Low,False,2014
Character #98,First Citizen,Cyberstreet Trader,Female,Human,None,Demon Eyes,41,53,60,86,46,583,Mid,True,322
Character #99,First Citizen,Grunt,Female,Human,None,Sad,85,74,52,32,52,298,Low,True,1526
Character #100,First Citizen,Club Promoter,Female,Human,None,Tired,65,34,91,90,64,442,Low,True,731
Character #101,First Citizen,Worker,Female,Human,None,Sad,62,30,73,76,54,294,Low,True,1454
Character #102,First Citizen,Developer,Female,Human,None,Focused,51,48,97,14,72,441,Low,True,1084
Character #103,First Citizen,Nerd,Female,Human,None,Alien,68,60,13,43,24,444,Low,True,733
Character #104,First Citizen,Assistant,Male,Human,None,Robot,88,20,65,37,56,294,Low,True,1109
Character #105,First Citizen,Assistant,Male,Mutant,None,Skeptical,59,87,17,97,94,294,Low,True,841
Character #106,First Citizen,Grunt,Female,Albino,None,Bloodshot,38,50,54,67,26,298,Low,True,1176
Character #107,First Citizen,Grunt,Male,Mutant,None,Bloodshot,75,62,20,94,58,296,Low,True,1132
Character #108,First Citizen,Officer,Female,Human,None,Suspicious,86,63,93,34,87,439,Low,True,788
Character #109,First Citizen,Worker,Male,Android,None,Paranoid,76,33,25,55,84,296,Low,True,1383
Character #110,First Citizen,Chat Support,Male,Human,None,Alien,69,51,11,28,44,290,Low,True,1689
Character #111,First Citizen,Grunt,Female,Human,None,Suspicious,96,40,90,98,69,296,Low,True,907
Character #112,First Citizen,Assistant,Female,Mutant,None,Cyborg,10,89,65,10,16,294,Low,True,1201
Character #113,First Citizen,Assistant,Male,Human,None,Suspicious,63,17,44,59,34,292,Low,True,1902
Character #114,First Citizen,Developer,Female,Human,None,Paranoid,50,62,85,17,47,441,Low,True,1224
Character #115,First Citizen,Samurai,Male,Android,None,Scar,17,13,98,78,25,588,Mid,True,867
Character #116,First Citizen,Bartender,Male,Human,None,Bloodshot,75,15,73,37,10,297,Low,True,1932
Character #117,First Citizen,Tech Runner,Female,Human,None,Bloodshot,49,44,74,46,26,581,Mid,True,1301
Character #118,First Citizen,Assistant,Female,Android,None,Sad,99,91,15,11,61,294,Low,False,1428
Character #119,First Citizen,Corporate,Female,Ape,Hard Gut,Sad,94,48,44,84,96,437,Low,True,140
Character #120,First Citizen,Grunt,Female,Mutant,None,Robot,40,83,25,16,91,298,Low,True,952
Character #121,First Citizen,Driver,Male,Mutant,None,Bloodshot,18,70,54,51,17,298,Low,True,1814
Character #122,First Citizen,Driver,Male,Albino,None,Suspicious,23,99,96,45,31,292,Low,True,884
Character #123,First Citizen,Cook,Female,Human,None,Sad,31,48,84,42,31,297,Low,True,1827
Character #124,First Citizen,Chat Support,Male,Human,None,Alien,75,49,85,95,26,296,Low,True,893
Character #125,First Citizen,Cyberstreet Trader,Male,Human,None,Tired,21,33,82,68,13,589,Mid,True,1415
Character #126,First Citizen,Worker,Female,Ape,Ghost Walk,Paranoid,40,25,91,89,18,298,Low,True,161
Character #127,First Citizen,Driver,Female,Albino,None,Grumpy,46,80,36,51,30,291,Low,True,1129
Character #128,First Citizen,Architect,Female,Demon,Locksmith,Focused,85,86,99,91,98,871,Mid,True,42
Character #129,First Citizen,Chat Support,Female,Android,None,Paranoid,26,34,38,89,92,292,Low,True,1503
Character #130,First Citizen,Worker,Female,Human,None,Suspicious,90,90,90,91,50,292,Low,True,766
Character #131,First Citizen,Mercenary,Female,Human,None,Scar,91,26,25,49,48,584,Mid,True,1005
Character #132,First Citizen,Chef,Male,Mutant,None,Robot,76,61,57,10,47,435,Low,True,517
Character #133,First Citizen,Officer,Female,Human,None,Sad,10,45,80,82,61,440,Low,True,1282
Character #134,First Citizen,Club Promoter,Female,Android,None,Focused,86,27,56,15,75,439,Low,False,1016
Character #135,First Citizen,Cyberstreet Trader,Female,Human,None,Scar,75,21,51,33,76,589,Mid,True,1162
Character #136,First Citizen,Bartender,Female,Android,None,Skeptical,75,53,30,23,22,290,Low,True,1843
Character #137,First Citizen,Grunt,Female,Human,None,Suspicious,29,65,82,44,41,299,Low,True,1730
Character #138,First Citizen,Club Owner,Female,Human,None,Suspicious,29,67,11,14,18,581,Mid,True,1677
Character #139,First Citizen,Corporate,Male,Human,None,Sad,92,78,68,73,13,435,Low,True,656
Character #140,First Citizen,Grunt,Male,Android,None,Bloodshot,50,37,23,89,60,298,Low,True,1571
Character #141,First Citizen,Driver,Female,Human,None,Sad,43,30,19,19,83,298,Low,True,1973
Character #142,First Citizen,Tech Weapon Dealer,Female,Human,None,Cyborg,88,80,55,94,74,870,Mid,True,305
Character #143,First Citizen,Chat Support,Female,Mutant,None,Focused,28,78,18,35,13,299,Low,True,1936
Character #144,First Citizen,Cook,Female,Human,None,Angry,28,36,54,69,50,297,Low,False,1794
Character #145,First Citizen,Mercenary,Male,Mutant,None,Suspicious,10,23,74,58,68,583,Mid,True,823
Character #146,First Citizen,Tech Runner,Male,Albino,None,Grumpy,64,96,81,29,15,581,Mid,True,532
Character #147,First Citizen,Assistant,Male,Mutant,None,Paranoid,26,51,65,49,31,296,Low,True,1664
Character #148,First Citizen,Officer,Female,Mutant,None,Tired,93,47,41,66,93,444,Low,True,699
Character #149,First Citizen,Bartender,Female,Human,None,Scar,70,79,88,81,82,299,Low,True,851
Character #150,First Citizen,Bartender,Male,Human,None,Paranoid,50,27,69,39,10,294,Low,False,1950
Character #151,First Citizen,Scavenger,Male,Mutant,None,Paranoid,13,85,26,96,77,436,Low,True,547
Character #152,First Citizen,Punk,Female,Android,None,Robot,77,62,94,45,96,436,Low,True,435
Character #153,First Citizen,Builder,Male,Human,None,Grumpy,37,35,39,95,52,293,Low,True,1706
Character #154,First Citizen,Officer,Female,Human,None,Bloodshot,70,47,79,17,72,435,Low,True,1234
Character #155,First Citizen,Exectuive,Male,Android,None,Alien,75,78,93,73,80,875,Mid,True,195
Character #156,First Citizen,Nerd,Male,Human,None,Grumpy,26,73,56,59,78,438,Low,True,673
Character #157,First Citizen,Mercenary,Male,Mutant,None,Sad,63,12,67,98,90,589,Mid,True,510
Character #158,First Citizen,Driver,Female,Human,None,Focused,75,30,47,64,55,299,Low,True,1709
Character #159,First Citizen,Chat Support,Female,Ape,Weapon Check,Cyborg,28,91,41,90,61,296,Low,True,288
Character #160,First Citizen,Worker,Male,Human,None,Suspicious,62,40,15,80,47,294,Low,True,1768
Character #161,First Citizen,Chef,Male,Android,None,Bloodshot,54,46,74,48,71,439,Low,True,692
Character #162,First Citizen,Chat Support,Male,Human,None,Angry,44,38,86,68,80,293,Low,True,1408
Character #163,First Citizen,Officer,Male,Mutant,None,Tired,10,42,50,55,90,440,Low,True,1145
Character #164,First Citizen,Chef,Male,Human,None,Focused,65,75,79,58,22,435,Low,True,759
Character #165,First Citizen,Worker,Female,Ape,Dead Eye,Bloodshot,87,59,65,35,37,294,Low,True,382
Character #166,First Citizen,Architect,Male,Demon,Dead Eye,Suspicious,88,85,96,95,89,879,Mid,True,60
Character #167,First Citizen,Cyberstreet Trader,Female,Mutant,None,Suspicious,86,80,62,23,36,587,Mid,True,777
Character #168,First Citizen,Developer,Male,Human,None,Skeptical,12,58,24,58,26,444,Low,True,1742
Character #169,First Citizen,Developer,Male,Human,None,Grumpy,91,80,28,51,22,436,Low,False,1123
Character #170,First Citizen,Driver,Male,Mutant,None,Alien,66,22,32,98,53,298,Low,True,977
Character #171,First Citizen,Grunt,Female,Human,None,Bloodshot,80,74,12,22,92,291,Low,True,1627
Character #172,First Citizen,Scavenger,Female,Human,None,Alien,94,78,21,86,91,436,Low,True,434
Character #173,First Citizen,Samurai,Female,Albino,None,Paranoid,73,32,87,39,12,589,Mid,True,533
Character #174,First Citizen,Worker,Male,Android,None,Skeptical,37,22,57,14,68,298,Low,True,1815
Character #175,First Citizen,Cook,Male,Human,None,Tired,75,59,81,74,96,295,Low,True,882
Character #176,First Citizen,Bartender,Male,Human,None,Grumpy,35,19,58,40,38,296,Low,True,1953
Character #177,First Citizen,NFT Artist,Male,Android,None,Bloodshot,94,78,73,76,89,878,Mid,True,290
Character #178,First Citizen,Nerd,Male,Human,None,Tired,36,24,75,76,86,442,Low,True,648
Character #179,First Citizen,Builder,Female,Human,None,Cyborg,14,77,30,63,64,292,Low,True,1122
Character #180,First Citizen,Bartender,Male,Human,None,Paranoid,12,84,49,91,44,294,Low,True,1595
Character #181,First Citizen,Assistant,Female,Human,None,Bloodshot,26,65,41,74,14,297,Low,True,1897
Character #182,First Citizen,Bartender,Male,Human,None,Paranoid,52,10,88,79,32,294,Low,True,1707
Character #183,First Citizen,Scavenger,Female,Android,None,Tired,46,31,28,14,36,443,Low,True,1251
Character #184,First Citizen,NFT Artist,Female,Albino,None,Scar,72,57,83,96,91,873,Mid,True,226
Character #185,First Citizen,Driver,Female,Human,None,Sad,32,63,86,60,23,298,Low,True,1760
Character #186,First Citizen,Officer,Female,Mutant,None,Skeptical,40,78,34,23,85,442,Low,True,1074
Character #187,First Citizen,Driver,Female,Human,None,Skeptical,17,41,67,95,17,291,Low,False,1859
Character #188,First Citizen,Bartender,Female,Human,None,Sad,97,47,30,60,75,299,Low,True,1426
Character #189,First Citizen,Cook,Female,Human,None,Angry,74,69,59,52,12,295,Low,True,1628
Character #190,First Citizen,Developer,Female,Human,None,Grumpy,88,60,62,11,67,437,Low,True,1038
Character #191,First Citizen,Cook,Male,Android,None,Focused,96,16,49,84,79,296,Low,True,1067
Character #192,First Citizen,Builder,Male,Human,None,Suspicious,42,10,81,52,39,294,Low,True,1889
Character #193,First Citizen,Builder,Female,Mutant,None,Alien,89,58,59,36,14,293,Low,True,1008
Character #194,First Citizen,Nerd,Female,Human,None,Focused,81,47,45,17,13,442,Low,True,1118
Character #195,First Citizen,Cook,Female,Mutant,None,Sad,15,57,50,49,55,294,Low,True,1650
Character #196,First Citizen,Worker,Male,Human,None,Paranoid,50,99,59,89,34,298,Low,True,1178
Character #197,First Citizen,Bartender,Male,Android,None,Scar,92,51,74,29,71,290,Low,True,1135
Character #198,First Citizen,Driver,Female,Human,None,Paranoid,27,92,32,72,36,295,Low,True,1776
Character #199,First Citizen,Cook,Female,Human,None,Bloodshot,50,58,75,39,14,292,Low,True,1833
Character #200,First Citizen,Bartender,Female,Human,None,Scar,91,59,73,55,24,291,Low,True,1455
Character #201,First Citizen,Club Owner,Male,Human,None,Angry,53,30,49,60,25,584,Mid,True,1095
Character #202,First Citizen,Cook,Female,Ape,Locksmith,Scar,56,82,38,71,50,290,Low,True,280
Character #203,First Citizen,Driver,Female,Android,None,Angry,81,97,95,79,84,295,Low,True,613
Character #204,First Citizen,Assassin,Male,Human,None,Angry,88,75,79,98,77,877,Mid,True,211
Character #205,First Citizen,Cook,Female,Human,None,Scar,67,80,63,93,49,291,Low,True,1070
Character #206,First Citizen,Worker,Female,Human,None,Suspicious,27,73,43,29,95,296,Low,True,1641
Character #207,First Citizen,Chat Support,Female,Human,None,Focused,32,25,16,38,34,297,Low,False,2011
Character #208,First Citizen,Driver,Female,Human,None,Sad,58,23,77,30,48,293,Low,True,1880
Character #209,First Citizen,Bartender,Female,Mutant,None,Bloodshot,77,15,61,30,89,292,Low,True,1400
Character #210,First Citizen,Driver,Female,Ghost,Weapon Check,Grumpy,18,25,59,63,38,295,Low,False,180
Character #211,First Citizen,Developer,Female,Human,None,Angry,35,52,33,57,55,444,Low,True,1398
Character #212,First Citizen,Assassin,Male,Android,None,Focused,61,78,54,60,52,871,Mid,True,272
Character #213,First Citizen,Driver,Male,Human,None,Focused,57,71,19,40,40,298,Low,True,1898
Character #214,First Citizen,Tech Runner,Female,Android,None,Robot,28,26,30,67,73,583,Mid,True,740
Character #215,First Citizen,Assistant,Female,Human,None,Skeptical,94,21,86,73,65,290,Low,True,1175
Character #216,First Citizen,Driver,Female,Human,None,Paranoid,17,55,16,47,10,290,Low,True,2009
Character #217,First Citizen,Tech Weapon Dealer,Male,Android,None,Glowing,94,56,90,65,85,872,Mid,True,159
Character #218,First Citizen,Corporate,Male,Human,None,Bloodshot,18,10,90,60,70,438,Low,True,1013
Character #219,First Citizen,Cook,Male,Android,None,Scar,15,75,25,14,70,293,Low,True,1839
Character #220,First Citizen,Club Owner,Female,Android,None,Tired,83,14,45,65,31,587,Mid,True,834
Character #221,First Citizen,Chat Support,Male,Human,None,Angry,68,84,52,93,14,299,Low,True,1440
Character #222,First Citizen,Tech Runner,Male,Human,None,Sad,23,96,34,48,85,588,Mid,False,990
Character #223,First Citizen,Worker,Female,Human,None,Alien,83,29,34,54,48,292,Low,True,1257
Character #224,First Citizen,Officer,Female,Human,None,Tired,34,86,62,85,18,435,Low,True,1187
Character #225,First Citizen,Cyberstreet Trader,Male,Human,None,Bloodshot,68,39,10,25,54,588,Mid,True,1600
Character #226,First Citizen,Worker,Female,Human,None,Tired,34,81,32,21,34,297,Low,True,1904
Character #227,First Citizen,Corporate,Male,Human,None,Angry,94,95,14,62,81,441,Low,True,567
Character #228,First Citizen,Cyber Ninja,Male,Human,None,Paranoid,87,89,89,93,97,874,Mid,True,328
Character #229,First Citizen,Worker,Female,Human,None,Paranoid,56,75,60,96,54,293,Low,True,1114
Character #230,First Citizen,Bartender,Female,Android,None,Bloodshot,70,49,14,63,23,294,Low,True,1802
Character #231,First Citizen,Assistant,Male,Human,None,Bloodshot,27,41,92,54,60,291,Low,True,1646
Character #232,First Citizen,Assassin,Male,Human,None,Focused,60,71,71,58,87,878,Mid,True,259
Character #233,First Citizen,Cook,Male,Human,None,Angry,26,64,88,65,10,291,Low,True,1696
Character #234,First Citizen,Nerd,Female,Android,None,Sad,36,21,56,68,75,442,Low,True,725
Character #235,First Citizen,Bartender,Female,Human,None,Focused,40,55,36,44,27,293,Low,True,1940
Character #236,First Citizen,Chat Support,Female,Human,None,Scar,11,87,41,95,89,293,Low,True,1390
Character #237,First Citizen,Assistant,Male,Android,None,Paranoid,10,88,72,18,94,293,Low,True,1373
Character #238,First Citizen,Assistant,Female,Human,None,Sad,35,80,45,71,67,292,Low,True,1496
Character #239,First Citizen,Nerd,Male,Human,None,Scar,80,30,95,46,58,439,Low,False,619
Character #240,First Citizen,Assistant,Female,Albino,None,Bloodshot,48,61,16,40,70,294,Low,True,1160
Character #241,First Citizen,Builder,Male,Mutant,None,Sad,75,95,85,56,88,298,Low,True,691
Character #242,First Citizen,Punk,Female,Human,None,Paranoid,24,14,52,12,84,437,Low,False,1587
Character #243,First Citizen,Worker,Male,Human,None,Alien,90,33,25,75,89,294,Low,True,873
Character #244,First Citizen,Builder,Male,Albino,None,Tired,21,74,92,15,63,295,Low,True,953
Character #245,First Citizen,Developer,Male,Android,None,Scar,92,20,18,47,64,440,Low,True,1149
Character #246,First Citizen,Chef,Male,Ape,Dead Eye,Paranoid,63,67,38,26,84,435,Low,True,309
Character #247,First Citizen,Driver,Male,Human,None,Angry,63,54,51,35,22,291,Low,True,1888
Character #248,First Citizen,Tech Weapon Dealer,Female,Aeon,Weapon Check,Paranoid,93,88,80,91,97,870,Mid,True,49
Character #249,First Citizen,Builder,Male,Human,None,Angry,17,17,85,18,25,296,Low,True,1987
Character #250,First Citizen,Club Owner,Female,Human,None,Grumpy,17,61,62,78,99,582,Mid,True,639
Character #251,First Citizen,Bartender,Female,Human,None,Grumpy,34,21,42,35,13,291,Low,True,2001
Character #252,First Citizen,Bartender,Female,Human,None,Scar,68,17,43,13,52,291,Low,True,1952
Character #253,First Citizen,Assistant,Female,Android,None,Focused,96,58,17,65,30,290,Low,True,1502
Character #254,First Citizen,Tech Runner,Female,Human,None,Bloodshot,34,29,62,82,95,586,Mid,True,912
Character #255,First Citizen,Cook,Male,Android,None,Sad,71,53,68,53,63,293,Low,True,1190
Character #256,First Citizen,Assistant,Male,Human,None,Tired,38,14,70,16,10,294,Low,True,1998
Character #257,First Citizen,Grunt,Male,Mutant,None,Grumpy,50,42,90,95,53,294,Low,True,981
Character #258,First Citizen,Mercenary,Female,Android,None,Focused,22,15,72,57,24,580,Mid,False,1121
Character #259,First Citizen,Tech Runner,Male,Android,None,Tired,87,78,35,75,34,583,Mid,True,721
Character #260,First Citizen,Tech Runner,Male,Human,None,Robot,34,70,31,98,41,580,Mid,True,655
Character #261,First Citizen,Mercenary,Male,Human,None,Angry,40,80,71,23,64,588,Mid,True,770
Character #262,First Citizen,Cyber Ninja,Female,Human,None,Scar,98,72,77,57,99,878,Mid,False,360
Character #263,First Citizen,Officer,Female,Albino,Dense,Scar,91,31,38,84,29,444,Low,True,221
Character #264,First Citizen,Grunt,Male,Android,None,Paranoid,50,25,98,34,87,299,Low,True,1312
Character #265,First Citizen,Bartender,Female,Human,None,Focused,23,30,79,17,29,292,Low,True,1980
Character #266,First Citizen,Chat Support,Male,Human,None,Suspicious,39,77,11,22,48,290,Low,True,1972
Character #267,First Citizen,Grunt,Male,Android,None,Angry,31,45,47,49,68,296,Low,True,1635
Character #268,First Citizen,Worker,Female,Human,None,Alien,19,12,65,64,63,293,Low,True,1430
Character #269,First Citizen,Chat Support,Male,Human,None,Scar,52,20,57,75,56,293,Low,True,1772
Character #270,First Citizen,Driver,Female,Human,None,Cyborg,76,79,33,53,33,299,Low,True,1033
Character #271,First Citizen,Tech Weapon Dealer,Male,Aeon,Dead Eye,Scar,94,91,85,98,97,871,Mid,True,51
Character #272,First Citizen,Corporate,Male,Human,None,Bloodshot,28,46,51,20,98,439,Low,True,1041
Character #273,First Citizen,Nerd,Female,Human,None,Cyborg,59,32,86,17,80,439,Low,True,478
Character #274,First Citizen,Scavenger,Female,Human,None,Suspicious,40,83,29,84,30,442,Low,True,819
Character #275,First Citizen,Driver,Male,Human,None,Robot,32,27,43,91,42,296,Low,True,1411
Character #276,First Citizen,Officer,Male,Human,None,Sad,23,82,85,22,63,444,Low,True,1294
Character #277,First Citizen,Cook,Female,Human,None,Angry,67,55,77,45,23,296,Low,True,1621
