ID;Credits;CreditSupplyProportion;AdditionalItem;CreditMultiplier;OpenedBy
55;871;0.000725;Sandwich;Medium High;1853
56;437;0.000364;Nuclear Bomb;Low;56
57;299;0.000249;1st Edition Book;Low;57
58;294;0.000245;None;Low;55
59;295;0.000245;None;Medium;59
60;1458;0.001215;Wooden Cup;Low;809
61;296;0.000246;None;Medium;1623
62;436;0.000363;Wrench;Low;62
63;435;0.000362;Knife;Low;63
64;290;0.000241;Trash Basket;Low;13
65;440;0.000366;None;Low;65
66;581;0.000484;Sandwich;Low;66
67;585;0.000487;Wooden Cup;Medium;67
68;444;0.000370;Newspaper;Low;0
69;439;0.000365;None;Low;0
70;1451;0.001209;None;Low;70
71;584;0.000486;None;Low;0
72;297;0.000247;Trash Basket;Medium;0
73;874;0.000728;Knife;Low;224
74;294;0.000245;Gold Cake;Medium;74
75;298;0.000248;1st Edition Book;Low;50
76;580;0.000483;None;Low;76
77;443;0.000369;None;Low;840
78;298;0.000248;Wrench;Medium;18
79;298;0.000248;None;Low;21
80;290;0.000241;Wrench;High;0
81;291;0.000242;Book;Medium;0
82;876;0.000730;None;Low;82
83;1451;0.001209;None;Medium High;42
84;293;0.000244;None;Low;84
85;587;0.000489;1 Dogecoin;Low;54
86;293;0.000244;None;Low;0
87;294;0.000245;None;Low;0
88;297;0.000247;Sandwich;High;509
89;294;0.000245;None;Medium High;1589
90;299;0.000249;None;Low;154
91;299;0.000249;Wooden Cup;Medium High;91
92;581;0.000484;None;Low;92
93;443;0.000369;Cyber Cat;Medium;93
94;297;0.000247;None;Medium High;598
95;435;0.000362;Trash Basket;Low;95
96;298;0.000248;None;Low;96
97;295;0.000245;Wrench;Medium;0
98;583;0.000485;None;Medium;98
99;298;0.000248;Cyber Hamster;Very High;99
100;295;0.000245;Knife;Medium;1722
101;294;0.000245;Cheat Codes;High;101
102;441;0.000367;Sushi Roll;Low;102
103;295;0.000245;None;Low;189
104;295;0.000245;None;Low;1172
105;585;0.000487;None;Medium;410
106;296;0.000246;Trash Basket;Medium;0
107;296;0.000246;Pocket Knife;Medium;107
108;293;0.000244;Wooden Cup;Low;1055
109;296;0.000246;Book;Low;109
110;290;0.000241;Sushi Roll;High;110
111;296;0.000246;None;High;111
112;299;0.000249;None;Low;837
113;292;0.000243;1 Dogecoin;Low;1504
114;1459;0.001215;None;?;0
115;588;0.000490;None;Low;115
116;291;0.000242;1 Bitcoin;Low;1989
117;581;0.000484;Gold Cake;Medium;117
118;296;0.000246;Cyber Penguin;Medium;0
119;437;0.000364;None;High;119
120;298;0.000248;None;Medium High;120
121;296;0.000246;Cyber Hamster;Medium;0
122;292;0.000243;Wooden Cup;Medium;122
123;586;0.000488;1 Bitcoin;High;696
124;296;0.000246;Newspaper;Medium High;124
125;589;0.000490;None;Low;0
126;293;0.000244;None;Medium;738
127;291;0.000242;Cheat Codes;Low;127
128;290;0.000241;None;Very High;197
129;292;0.000243;None;Medium;129
130;292;0.000243;None;Low;130
131;584;0.000486;None;Low;131
132;435;0.000362;None;Low;132
133;440;0.000366;None;Medium High;133
134;294;0.000245;None;Medium;112
135;589;0.000490;None;Low;135
136;440;0.000366;Wooden Cup;Low;72
137;293;0.000244;None;Low;354
138;299;0.000249;None;Medium;1077
139;444;0.000370;None;Low;0
140;298;0.000248;Wrench;Medium;140
141;298;0.000248;None;Low;141
142;442;0.000368;Book;Low;0
143;290;0.000241;Cyber Dog;Medium;0
144;297;0.000247;Sandwich;Low;0
145;588;0.000490;None;Low;796
146;581;0.000484;None;Medium;146
147;296;0.000246;None;Very High;147
148;444;0.000370;Wrench;Medium High;0
149;299;0.000249;Wooden Cup;Medium;149
150;587;0.000489;Wrench;Medium;909
151;436;0.000363;Cup of Scotch;?;151
152;436;0.000363;None;?;2252
153;291;0.000242;Nuclear Bomb;Low;631
154;587;0.000489;Sandwich;Low;78
155;875;0.000729;None;Medium;155
156;438;0.000365;None;Medium;156
157;297;0.000247;Book;Medium High;157
158;871;0.000725;None;Low;212
159;296;0.000246;1 Bitcoin;Medium High;159
160;294;0.000245;None;Medium;160
161;439;0.000365;None;Medium High;161
162;292;0.000243;None;Low;365
163;440;0.000366;None;Low;163
164;299;0.000249;Cup of Scotch;Low;1094
165;294;0.000245;None;Low;165
166;582;0.000485;1st Edition Book;Low;87
167;292;0.000243;None;Low;1222
168;291;0.000242;None;Medium High;0
169;436;0.000363;Book;Low;0
170;298;0.000248;None;Low;170
171;297;0.000247;Pocket Knife;Low;0
172;291;0.000242;Book;Low;779
173;1450;0.001208;Cyber Penguin;Medium High;0
174;295;0.000245;None;Medium High;1461
175;294;0.000245;None;Low;105
176;296;0.000246;Sandwich;Low;176
177;435;0.000362;None;Low;481
178;292;0.000243;Sandwich;Low;1801
179;292;0.000243;None;Low;179
180;294;0.000245;None;Low;180
181;439;0.000365;Trash Basket;Low;1977
182;294;0.000245;None;High;182
183;443;0.000369;Book;Low;0
184;873;0.000727;1 Bitcoin;Medium;184
185;298;0.000248;None;Low;185
186;442;0.000368;Cyber Dog;Low;186
187;435;0.000362;Sandwich;Medium;1298
188;299;0.000249;Newspaper;Medium;188
189;296;0.000246;None;Low;0
190;437;0.000364;Gold Cake;Low;190
191;298;0.000248;Pocket Knife;?;0
192;294;0.000245;Wrench;Low;807
193;293;0.000244;Cup of Scotch;Low;193
194;442;0.000368;None;Low;0
195;294;0.000245;None;Medium;0
196;298;0.000248;Cyber Dog;High;196
197;875;0.000729;None;Very High;1935
198;295;0.000245;Cyber Cat;Low;198
199;292;0.000243;Cup of Scotch;Low;199
200;292;0.000243;Book;Medium;830
201;293;0.000244;None;Low;1746
202;583;0.000485;Sandwich;Medium;202
203;295;0.000245;None;Medium;203
204;584;0.000486;None;Low;201
205;291;0.000242;Wrench;Medium;205
206;296;0.000246;None;Low;206
207;298;0.000248;None;Medium;174
208;293;0.000244;None;Low;208
209;437;0.000364;1st Edition Book;Low;0
210;296;0.000246;None;Low;1553
211;444;0.000370;None;Low;211
212;299;0.000249;None;?;221
213;298;0.000248;None;Medium;213
214;583;0.000485;None;Medium High;214
215;290;0.000241;None;Low;215
216;290;0.000241;None;High;216
217;872;0.000726;Nuclear Bomb;High;217
218;438;0.000365;None;Low;0
219;293;0.000244;Pocket Knife;Medium;219
220;293;0.000244;Cheat Codes;Low;307
221;581;0.000484;1 Dogecoin;Low;523
222;299;0.000249;None;Low;1667
223;292;0.000243;None;Low;0
224;871;0.000725;None;Medium High;418
225;588;0.000490;None;High;225
226;297;0.000247;None;Medium High;226
227;296;0.000246;None;Low;1828
228;294;0.000245;Book;Low;813
229;437;0.000364;None;Medium;229
230;294;0.000245;Cyber Cat;Medium;230
231;588;0.000490;None;Low;0
232;878;0.000731;None;Very High;232
233;290;0.000241;Wooden Cup;High;1173
234;290;0.000241;None;Low;0
235;293;0.000244;1 Bitcoin;Medium;235
236;293;0.000244;None;Low;236
237;293;0.000244;1 Bitcoin;Medium High;237
238;1459;0.001215;1st Edition Book;Medium;328
239;299;0.000249;None;High;47
240;294;0.000245;None;Low;0
241;298;0.000248;Cyber Cat;Medium;241
242;870;0.000725;None;Low;1578
243;290;0.000241;Pocket Knife;Low;957
244;298;0.000248;Golden Bitcoin Skull of Fate;Medium;126
245;440;0.000366;None;Medium;426
246;435;0.000362;Wrench;Low;703
247;443;0.000369;Pocket Knife;High;0
248;394;0.000328;Wooden Cup;Medium;0
249;296;0.000246;None;Low;249
250;582;0.000485;None;Low;250
251;291;0.000242;None;Low;693
252;291;0.000242;Trash Basket;High;252
253;263;0.000219;Newspaper;Medium High;0
254;586;0.000488;Cup of Scotch;Medium High;254
255;293;0.000244;None;Medium;255
256;585;0.000487;None;Low;1988
257;294;0.000245;None;Low;1542
258;294;0.000245;Cheat Codes;High;104
259;583;0.000485;None;High;259
260;260;0.000216;None;Low;0
261;588;0.000490;Wrench;Low;261
262;878;0.000731;None;Low;0
263;444;0.000370;None;Medium High;263
264;438;0.000365;Cyber Penguin;Medium;1428
265;292;0.000243;None;Low;265
266;290;0.000241;Book;Low;266
267;1456;0.001213;Cyber Cat;Medium;1938
268;296;0.000246;None;Low;1158
269;293;0.000244;1 Dogecoin;Low;269
270;299;0.000249;Cheat Codes;Medium;270
271;871;0.000725;None;Medium High;271
272;876;0.000730;Book;Low;437
273;439;0.000365;1 Dogecoin;High;743
274;442;0.000368;None;Medium;274
275;291;0.000242;None;Low;0
276;444;0.000370;None;Medium;489
277;296;0.000246;Trash Basket;Medium High;275
278;878;0.000731;None;Low;0
279;295;0.000245;None;Low;94
280;299;0.000249;None;Low;280
281;295;0.000245;None;Medium High;1750
282;293;0.000244;None;High;282
283;581;0.000484;Sandwich;Very High;283
284;295;0.000245;Sushi Roll;High;284
285;582;0.000485;None;Medium;285
286;444;0.000370;Cup of Scotch;Low;286
287;587;0.000489;None;Low;75
288;440;0.000366;None;Medium;288
289;299;0.000249;Wrench;Medium;969
290;435;0.000362;Wrench;Low;290
291;295;0.000245;Sandwich;Low;244
292;582;0.000485;Sandwich;Medium;292
293;436;0.000363;None;Low;293
294;876;0.000730;Cyber Penguin;Medium;1511
295;290;0.000241;Cyber Dog;High;291
296;290;0.000241;None;Medium;253
297;290;0.000241;Nuclear Bomb;Medium;297
298;299;0.000249;Trash Basket;Low;0
299;298;0.000248;Sandwich;Low;299
300;444;0.000370;None;Medium High;19
301;443;0.000369;Gold Cake;Very High;301
302;297;0.000247;None;Low;556
303;296;0.000246;None;Medium High;8
304;291;0.000242;Book;Low;304
305;293;0.000244;None;Very High;305
306;589;0.000490;Pocket Knife;Low;306
307;442;0.000368;Wrench;Medium;1864
308;394;0.000328;None;High;1373
309;441;0.000367;1 Dogecoin;Low;689
310;870;0.000725;1st Edition Book;Low;310
311;297;0.000247;Cyber Dog;Low;311
312;440;0.000366;Sushi Roll;Low;1594
313;436;0.000363;Cyber Cat;High;313
314;441;0.000367;None;Medium;314
315;437;0.000364;None;High;620
316;297;0.000247;Wrench;Medium;316
317;290;0.000241;None;Medium;392
318;297;0.000247;None;Low;318
319;437;0.000364;Wrench;Low;319
320;437;0.000364;1 Bitcoin;Low;1318
321;435;0.000362;1 Dogecoin;Medium;1535
322;292;0.000243;None;Medium High;322
323;435;0.000362;Book;Medium;323
324;299;0.000249;None;Low;0
325;391;0.000325;Sushi Roll;Low;0
326;295;0.000245;None;Low;0
327;879;0.000732;Cyber Hamster;Medium;327
328;581;0.000484;None;High;1113
329;581;0.000484;None;Low;272
330;584;0.000486;Sandwich;Low;329
331;291;0.000242;None;Low;331
332;580;0.000483;Cyber Cat;Medium;0
333;440;0.000366;None;Medium;333
334;297;0.000247;1st Edition Book;Low;334
335;581;0.000484;None;Low;335
336;435;0.000362;Pocket Knife;Low;336
337;436;0.000363;None;Low;337
338;521;0.000434;None;Low;0
339;294;0.000245;None;Low;339
340;296;0.000246;Trash Basket;Medium High;340
341;440;0.000366;None;High;341
342;295;0.000245;None;Medium High;342
343;269;0.000224;Wrench;Medium;1665
344;298;0.000248;Cyber Dog;Low;344
345;444;0.000370;Wrench;High;0
346;444;0.000370;Sandwich;Low;346
347;293;0.000244;None;Medium;0
348;263;0.000219;None;Medium High;0
349;296;0.000246;None;Medium;349
350;437;0.000364;Newspaper;Low;350
351;297;0.000247;1st Edition Book;Low;514
352;582;0.000485;Knife;Medium;352
353;296;0.000246;None;Medium High;353
354;290;0.000241;None;Medium;513
355;524;0.000436;Sandwich;Medium;0
356;394;0.000328;None;Medium;0
357;583;0.000485;Sushi Roll;Low;635
358;441;0.000367;None;Low;358
359;1459;0.001215;None;Medium;357
360;440;0.000366;Cup of Scotch;Low;360
361;296;0.000246;None;Medium High;361
362;785;0.000654;None;Low;0
363;589;0.000490;None;Low;363
364;264;0.000220;None;Low;0
365;294;0.000245;None;Medium;564
366;294;0.000245;Sushi Roll;Medium High;366
367;292;0.000243;Sandwich;Low;1245
368;297;0.000247;Trash Basket;Medium;367
369;583;0.000485;Cyber Cat;Medium;370
370;293;0.000244;Book;Low;799
371;291;0.000242;None;Medium;1678
372;294;0.000245;Book;Medium;372
373;291;0.000242;Newspaper;Medium;373
374;263;0.000219;Sandwich;Medium;0
375;442;0.000368;Newspaper;Low;375
376;295;0.000245;None;Low;792
377;291;0.000242;Wrench;Low;355
378;299;0.000249;Sushi Roll;Low;377
379;298;0.000248;Cyber Penguin;Low;1264
380;292;0.000243;None;Very High;380
381;436;0.000363;1st Edition Book;Medium;381
382;296;0.000246;1st Edition Book;Medium;382
383;439;0.000365;1 Bitcoin;Low;383
384;299;0.000249;Sushi Roll;Low;384
385;299;0.000249;Wrench;Very High;385
386;296;0.000246;None;Low;386
387;438;0.000365;Wooden Cup;Low;387
388;296;0.000246;Newspaper;Medium High;388
389;291;0.000242;None;High;473
390;589;0.000490;Book;High;390
391;296;0.000246;None;Low;0
392;437;0.000364;None;Low;1292
393;296;0.000246;Sushi Roll;Low;393
394;586;0.000488;1st Edition Book;Medium;394
395;297;0.000247;Wrench;Medium;0
396;294;0.000245;Wooden Cup;High;396
397;294;0.000245;Newspaper;High;246
398;293;0.000244;1 Dogecoin;Low;398
399;297;0.000247;None;High;0
400;879;0.000732;Trash Basket;Low;400
401;291;0.000242;None;Low;401
402;292;0.000243;None;Medium;0
403;299;0.000249;Knife;Low;403
404;589;0.000490;None;Medium High;726
405;581;0.000484;None;Low;405
406;293;0.000244;Cyber Cat;Low;406
407;290;0.000241;Sandwich;Medium;407
408;1459;0.001215;None;Very High;1089
409;583;0.000485;None;Low;0
410;441;0.000367;None;Low;0
411;292;0.000243;Sushi Roll;Low;1552
412;581;0.000484;Book;Low;500
413;295;0.000245;1st Edition Book;Medium;413
414;269;0.000224;None;Low;0
415;440;0.000366;Cup of Scotch;Medium;1223
416;298;0.000248;Trash Basket;Medium;0
417;444;0.000370;None;Medium;1107
418;435;0.000362;None;Medium High;1840
419;262;0.000218;Cyber Dog;Low;0
420;298;0.000248;Knife;Low;379
421;439;0.000365;None;Medium High;421
422;1458;0.001215;None;Low;952
423;291;0.000242;None;Low;69
424;876;0.000730;None;Medium;424
425;292;0.000243;Golden Bitcoin Skull of Fate;Medium;425
426;524;0.000436;None;Medium;0
427;294;0.000245;Sandwich;Low;427
428;298;0.000248;None;Medium;428
429;299;0.000249;None;Medium;429
430;1456;0.001213;None;Low;430
431;436;0.000363;None;Low;431
432;435;0.000362;1st Edition Book;Medium High;898
433;443;0.000369;Cyber Dog;Medium;433
434;444;0.000370;None;High;434
435;582;0.000485;None;Low;435
436;292;0.000243;None;Low;436
437;391;0.000325;1st Edition Book;Medium High;9
438;393;0.000327;Book;Medium;0
439;267;0.000222;None;Low;0
440;442;0.000368;Book;Medium High;440
441;297;0.000247;Wooden Cup;Medium High;441
442;293;0.000244;None;High;442
443;299;0.000249;Wooden Cup;Medium High;0
444;877;0.000730;None;Medium High;666
445;296;0.000246;Sandwich;Low;445
446;444;0.000370;None;Low;1239
447;875;0.000729;None;Low;447
448;435;0.000362;Nuclear Bomb;Medium;448
449;444;0.000370;None;High;449
450;296;0.000246;Wrench;Medium High;450
451;295;0.000245;None;Low;451
452;291;0.000242;None;Medium;452
453;298;0.000248;None;Low;1310
454;1453;0.001210;Sandwich;Medium;454
455;294;0.000245;Trash Basket;Low;1166
456;292;0.000243;None;Low;456
457;879;0.000732;Wrench;Medium;457
458;437;0.000364;Knife;High;458
459;870;0.000725;None;Low;459
460;291;0.000242;Newspaper;Medium High;233
461;294;0.000245;None;Medium;461
462;395;0.000329;None;Low;538
463;298;0.000248;1st Edition Book;Low;463
464;299;0.000249;Newspaper;Very High;464
465;440;0.000366;None;High;465
466;871;0.000725;None;Medium;466
467;585;0.000487;Book;Medium;467
468;292;0.000243;None;Medium;0
469;268;0.000223;None;High;0
470;442;0.000368;None;Medium;859
471;295;0.000245;None;Low;0
472;581;0.000484;None;Low;26
473;293;0.000244;None;Medium;1306
474;435;0.000362;None;Low;474
475;443;0.000369;Golden Bitcoin Skull of Fate;Medium;475
476;295;0.000245;Cyber Cat;Medium;476
477;438;0.000365;None;Low;477
478;437;0.000364;None;Low;478
479;296;0.000246;Trash Basket;Low;479
480;293;0.000244;Sandwich;Low;480
481;266;0.000221;None;Very High;0
482;295;0.000245;None;High;446
483;444;0.000370;Wrench;Low;483
484;436;0.000363;1 Dogecoin;High;484
485;438;0.000365;None;High;485
486;1455;0.001212;Wrench;Low;486
487;436;0.000363;None;Low;0
488;444;0.000370;Newspaper;Medium;103
489;297;0.000247;None;Low;273
490;586;0.000488;None;Low;490
491;440;0.000366;Pocket Knife;Medium High;0
492;438;0.000365;None;Medium;492
493;588;0.000490;None;Medium High;493
494;438;0.000365;Newspaper;Medium;494
495;435;0.000362;Knife;Low;0
496;442;0.000368;Cyber Penguin;Very High;496
497;293;0.000244;Wooden Cup;Medium;497
498;444;0.000370;None;Low;498
499;293;0.000244;Cyber Hamster;Low;0
500;444;0.000370;1st Edition Book;Low;1092
501;296;0.000246;None;Very High;501
502;290;0.000241;None;Low;502
503;588;0.000490;None;Low;841
504;436;0.000363;None;High;827
505;444;0.000370;None;Low;505
506;441;0.000367;None;Low;1956
507;296;0.000246;Cyber Hamster;Low;507
508;291;0.000242;None;Low;508
509;877;0.000730;None;Low;204
510;443;0.000369;Wrench;Medium High;1121
511;260;0.000216;None;Low;0
512;443;0.000369;None;Low;512
513;873;0.000727;Wrench;High;1353
514;390;0.000325;None;Medium;0
515;298;0.000248;Wrench;Medium;515
516;398;0.000331;Wrench;Low;1319
517;439;0.000365;None;Medium;517
518;299;0.000249;1 Dogecoin;Medium;518
519;297;0.000247;Wooden Cup;Low;519
520;291;0.000242;None;Low;520
521;582;0.000485;None;Medium;521
522;441;0.000367;None;Medium;522
523;267;0.000222;Wooden Cup;Medium High;0
524;298;0.000248;Cup of Scotch;Medium;524
525;291;0.000242;None;Medium;0
526;872;0.000726;Pocket Knife;Low;526
527;293;0.000244;Newspaper;Low;527
528;440;0.000366;None;High;542
529;293;0.000244;Pocket Knife;Medium;529
530;581;0.000484;Book;Low;531
531;439;0.000365;Cyber Cat;Low;530
532;580;0.000483;Pocket Knife;Low;532
533;436;0.000363;None;Medium;533
534;295;0.000245;None;Low;504
535;441;0.000367;Wrench;Low;535
536;292;0.000243;None;High;536
537;871;0.000725;1 Bitcoin;Medium;805
538;295;0.000245;None;Medium High;1629
539;437;0.000364;None;Low;539
540;442;0.000368;Book;Medium;540
541;580;0.000483;None;High;281
542;296;0.000246;Book;Medium;1705
543;442;0.000368;None;Low;302
544;299;0.000249;None;Medium High;348
545;295;0.000245;None;Very High;545
546;296;0.000246;None;Low;546
547;294;0.000245;Pocket Knife;Low;1845
548;292;0.000243;Cyber Cat;High;548
549;298;0.000248;None;Low;0
550;589;0.000490;Sushi Roll;Low;1128
551;589;0.000490;Trash Basket;Low;432
552;439;0.000365;Knife;Low;552
553;439;0.000365;Book;Medium;553
554;438;0.000365;Newspaper;Low;554
555;439;0.000365;Gold Cake;Low;555
556;580;0.000483;Newspaper;Low;1700
557;586;0.000488;None;Low;557
558;442;0.000368;None;Low;178
559;294;0.000245;Book;Low;0
560;297;0.000247;None;Very High;560
561;581;0.000484;None;Medium;561
562;879;0.000732;Pocket Knife;Very High;562
563;588;0.000490;Newspaper;Medium;563
564;296;0.000246;Cyber Cat;Low;1902
565;439;0.000365;Wrench;Low;565
566;296;0.000246;None;Low;534
567;440;0.000366;None;High;567
568;582;0.000485;Cyber Hamster;Medium High;568
569;294;0.000245;1 Dogecoin;Low;569
570;299;0.000249;None;Medium;570
571;267;0.000222;Sandwich;Low;623
572;435;0.000362;None;Low;0
573;587;0.000489;None;Medium;573
574;294;0.000245;Wrench;Very High;173
575;291;0.000242;Newspaper;Medium;575
576;878;0.000731;Wrench;Medium High;576
577;589;0.000490;None;Very High;577
578;584;0.000486;None;Medium High;578
579;297;0.000247;Sandwich;Medium;579
580;437;0.000364;Wooden Cup;Low;580
581;585;0.000487;None;Medium;0
582;291;0.000242;Wooden Cup;Medium;582
583;525;0.000437;Cyber Dog;Low;1962
584;295;0.000245;None;Low;584
585;293;0.000244;Pocket Knife;Low;585
586;298;0.000248;Trash Basket;Low;443
587;295;0.000245;None;Very High;587
588;439;0.000365;None;Low;588
589;292;0.000243;Cyber Dog;Low;351
590;296;0.000246;Wrench;Low;590
591;589;0.000490;Sushi Roll;Low;591
592;293;0.000244;None;Low;592
593;1456;0.001213;Trash Basket;Low;593
594;297;0.000247;Sandwich;Low;594
595;297;0.000247;1st Edition Book;Medium;595
596;586;0.000488;None;High;596
597;291;0.000242;None;Low;0
598;437;0.000364;None;Medium;1658
599;299;0.000249;None;Low;599
600;443;0.000369;None;Medium;1650
601;294;0.000245;None;Low;855
602;583;0.000485;None;Low;602
603;586;0.000488;None;Medium;603
604;290;0.000241;Sandwich;Low;0
605;297;0.000247;Book;High;605
606;298;0.000248;Sandwich;High;35
607;298;0.000248;None;Medium;711
608;442;0.000368;Cup of Scotch;Low;608
609;435;0.000362;Cheat Codes;Very High;609
610;436;0.000363;None;Low;1741
611;297;0.000247;Wooden Cup;Low;611
612;290;0.000241;None;Low;612
613;443;0.000369;Newspaper;Low;613
614;875;0.000729;Cyber Cat;Low;614
615;582;0.000485;Cyber Penguin;Medium;300
616;298;0.000248;Newspaper;Low;0
617;580;0.000483;None;Medium;617
618;587;0.000489;Newspaper;Low;1689
619;293;0.000244;Cyber Cat;High;619
620;297;0.000247;Sandwich;Medium;116
621;291;0.000242;Wrench;Medium;0
622;293;0.000244;None;Low;622
623;290;0.000241;Book;Low;0
624;441;0.000367;Book;Low;1632
625;580;0.000483;Sandwich;Low;0
626;436;0.000363;Wrench;Medium;626
627;444;0.000370;None;Low;627
628;298;0.000248;Cyber Hamster;Low;0
629;298;0.000248;Book;Medium High;629
630;398;0.000331;None;Medium;0
631;439;0.000365;None;Medium;732
632;296;0.000246;None;Low;632
633;440;0.000366;None;Low;633
634;290;0.000241;None;Low;634
635;871;0.000725;None;Medium High;1020
636;441;0.000367;None;Low;636
637;872;0.000726;None;High;637
638;299;0.000249;Cup of Scotch;Low;755
639;293;0.000244;None;Low;639
640;268;0.000223;None;Low;0
641;588;0.000490;Nuclear Bomb;Low;86
642;292;0.000243;1st Edition Book;Low;642
643;876;0.000730;Newspaper;Low;0
644;293;0.000244;Cyber Dog;Medium;644
645;585;0.000487;None;Medium;1513
646;581;0.000484;None;Low;646
647;294;0.000245;Sandwich;Medium;528
648;298;0.000248;None;Low;649
649;580;0.000483;None;Low;640
650;290;0.000241;None;Medium;650
651;586;0.000488;None;Low;0
652;298;0.000248;Wrench;Medium;652
653;291;0.000242;None;Very High;0
654;297;0.000247;Newspaper;Low;181
655;877;0.000730;None;Low;944
656;441;0.000367;None;Medium High;656
657;444;0.000370;None;Medium High;657
658;292;0.000243;Wooden Cup;Low;658
659;293;0.000244;None;Medium;659
660;588;0.000490;Wrench;High;660
661;292;0.000243;None;Medium High;0
662;584;0.000486;None;Low;662
663;299;0.000249;Cyber Penguin;Low;663
664;294;0.000245;Cup of Scotch;Low;664
665;262;0.000218;None;Low;0
666;298;0.000248;None;Low;106
667;871;0.000725;None;Medium;408
668;438;0.000365;None;Low;668
669;293;0.000244;None;Medium;669
670;1452;0.001210;Wrench;Medium;670
671;297;0.000247;None;Medium;671
672;291;0.000242;None;Medium High;672
673;444;0.000370;Sandwich;High;673
674;871;0.000725;Knife;Very High;0
675;290;0.000241;Wrench;Medium;675
676;586;0.000488;Trash Basket;Medium;0
677;442;0.000368;None;High;677
678;581;0.000484;None;High;678
679;299;0.000249;None;Medium;679
680;298;0.000248;Trash Basket;Very High;680
681;297;0.000247;Wooden Cup;Low;681
682;581;0.000484;None;Low;682
683;439;0.000365;Wrench;Low;683
684;440;0.000366;None;Medium High;684
685;291;0.000242;None;Low;685
686;298;0.000248;None;Low;686
687;1308;0.001090;None;Medium;1826
688;298;0.000248;None;Low;688
689;298;0.000248;Cyber Cat;Medium High;1321
690;444;0.000370;None;Low;690
691;581;0.000484;Sandwich;Medium High;1287
692;440;0.000366;None;Low;0
693;297;0.000247;Cyber Dog;Low;691
694;1457;0.001214;None;Medium High;0
695;1457;0.001214;Sandwich;Low;0
696;442;0.000368;Newspaper;Medium;0
697;297;0.000247;Pocket Knife;Very High;697
698;439;0.000365;None;Medium;1832
699;437;0.000364;None;High;0
700;296;0.000246;Pocket Knife;High;700
701;294;0.000245;None;Medium;701
702;442;0.000368;Cyber Dog;Medium;702
703;265;0.000220;None;Low;0
704;299;0.000249;None;Medium;704
705;585;0.000487;Pocket Knife;?;0
706;294;0.000245;Wooden Cup;Medium High;706
707;444;0.000370;Newspaper;Low;1631
708;582;0.000485;Sushi Roll;Low;0
709;292;0.000243;None;Low;0
710;294;0.000245;None;Very High;710
711;436;0.000363;None;Medium;1768
712;436;0.000363;None;High;712
713;580;0.000483;Knife;Very High;713
714;438;0.000365;1st Edition Book;Low;714
715;299;0.000249;Sushi Roll;Medium;0
716;439;0.000365;Book;Low;716
717;441;0.000367;1st Edition Book;Very High;717
718;584;0.000486;None;Low;718
719;1455;0.001212;Wooden Cup;Low;719
720;439;0.000365;Sandwich;Low;0
721;436;0.000363;None;Low;1733
722;290;0.000241;None;Medium High;722
723;290;0.000241;Newspaper;Low;0
724;295;0.000245;Cyber Dog;Medium High;724
725;293;0.000244;Knife;Low;725
726;290;0.000241;None;High;1909
727;436;0.000363;Knife;Medium;296
728;298;0.000248;None;High;728
729;589;0.000490;Trash Basket;Low;729
730;299;0.000249;1 Dogecoin;Medium High;730
731;436;0.000363;Trash Basket;Low;731
732;787;0.000655;1st Edition Book;Medium;1003
